event_id,customer_id,customer_name,country,industry,subscription_plan,account_manager,event_date,event_type,product_name,daily_active_users,weekly_active_users,feature_usage_score,support_ticket_count,avg_response_time_hours,customer_health_score,churn_risk_score,renewal_probability_pct,monthly_recurring_revenue_eur,contract_value_eur,alert_flag,alert_type,recommended_action
EVT-20001,CUST-1028,Doha LogiTech,Qatar,Manufacturing,Growth,Marta Sokolowska,2025-10-06,qbr_snapshot,SupportPilot,22,68,57,10,12.6,45,46,48,1332.55,31981.2,N,,Support escalation
EVT-20002,CUST-1005,Aegis Cloud,Ireland,SaaS,Enterprise,Liam O'Connell,2025-10-12,ticket_review,InsightGrid,306,965,57,31,3.0,4,77,20,55454.7,665456.4,Y,Ticket surge,Support escalation
EVT-20003,CUST-1030,Auckland MarketCo,New Zealand,Retail,Enterprise,Yuki Tanaka,2025-10-18,adoption_audit,FlowSphere,1013,3462,83,10,11.3,58,34,64,33808.76,1217115.36,N,,Support escalation
EVT-20004,CUST-1010,Lumen Retail Group,Spain,Retail,Enterprise,Tomás Ferreira,2025-10-25,qbr_snapshot,InsightGrid,672,1489,79,4,16.7,59,20,80,46780.08,1122721.92,N,,Routine check-in
EVT-20005,CUST-1026,São Paulo Pay,Brazil,FinTech,Business,Tomás Ferreira,2025-10-26,adoption_audit,InsightGrid,119,352,53,10,16.9,45,46,51,6745.92,242853.12,N,,Support escalation
EVT-20006,CUST-1028,Doha LogiTech,Qatar,Manufacturing,Growth,Marta Sokolowska,2025-11-01,renewal_review,InsightGrid,56,155,33,7,0.5,43,48,55,1840.82,66269.52,N,,Training session
EVT-20007,CUST-1005,Aegis Cloud,Ireland,SaaS,Enterprise,Liam O'Connell,2025-11-07,health_scan,FlowSphere,804,2080,41,1,15.4,47,39,58,19898.13,716332.68,N,,Renewal planning call
EVT-20008,CUST-1018,Copenhagen Med,Denmark,Healthcare,Growth,Yuki Tanaka,2025-11-20,qbr_snapshot,InsightGrid,34,125,85,3,7.8,72,21,82,1648.25,59337.0,N,,Routine check-in
EVT-20009,CUST-1013,Tundra Goods,Finland,Retail,Enterprise,Anika Roth,2025-11-27,adoption_audit,FlowSphere,1427,4159,98,0,14.6,82,9,88,26330.68,947904.48,N,,Routine check-in
EVT-20010,CUST-1015,Helios Software,Greece,SaaS,Enterprise,Henrik Bergstrom,2025-11-29,health_scan,InsightGrid,969,2077,100,2,15.2,78,3,99,52071.44,624857.28,N,,Routine check-in
EVT-20011,CUST-1007,Polaris Health,Sweden,Healthcare,Starter,Pieter de Vries,2025-12-03,qbr_snapshot,InsightGrid,20,43,29,1,18.4,35,50,49,304.86,3658.32,Y,Low adoption,Training session
EVT-20012,CUST-1025,Bengaluru Forge,India,Manufacturing,Enterprise,Henrik Bergstrom,2025-12-19,adoption_audit,InsightGrid,1058,3140,68,0,4.0,66,21,83,46760.71,1683385.56,N,,Routine check-in
EVT-20013,CUST-1027,Cape Town Apps,South Africa,SaaS,Starter,Elena Marchetti,2025-12-20,qbr_snapshot,FlowSphere,12,26,44,6,12.2,44,44,57,647.68,15544.32,N,,Renewal planning call
EVT-20014,CUST-1010,Lumen Retail Group,Spain,Retail,Enterprise,Tomás Ferreira,2025-12-26,qbr_snapshot,SupportPilot,1024,3785,40,9,12.0,37,52,41,22988.37,275860.44,Y,Declining health,Customer success review
EVT-20015,CUST-1021,Brightline Analytics,United States,SaaS,Enterprise,Priya Menon,2025-12-29,health_scan,InsightGrid,334,866,55,2,27.4,47,31,71,56003.83,1344091.92,N,,Routine check-in
EVT-20016,CUST-1012,Iberia DataWorks,Portugal,SaaS,Business,Marta Sokolowska,2026-01-02,adoption_audit,SupportPilot,187,584,65,1,21.6,55,33,69,5534.03,66408.36,N,,Routine check-in
EVT-20017,CUST-1017,Halden Bank,Norway,FinTech,Enterprise,Henrik Bergstrom,2026-01-02,usage_check,InsightGrid,1221,4374,88,2,12.1,70,14,80,25505.1,918183.6,N,,Routine check-in
EVT-20018,CUST-1022,Maple Insurance,Canada,FinTech,Growth,Yuki Tanaka,2026-01-03,qbr_snapshot,FlowSphere,53,198,53,8,17.0,43,42,58,2552.74,61265.76,N,,Support escalation
EVT-20019,CUST-1023,Sunrise Wellness,Australia,Healthcare,Starter,Marta Sokolowska,2026-01-07,health_scan,FlowSphere,21,66,55,10,15.8,41,44,62,532.45,12778.8,N,,Support escalation
EVT-20020,CUST-1006,Mistral Pay,France,FinTech,Business,Anika Roth,2026-01-09,qbr_snapshot,InsightGrid,195,696,54,5,11.2,56,38,61,7899.39,94792.68,N,,Routine check-in
EVT-20021,CUST-1002,Helix Biotech,Switzerland,Healthcare,Enterprise,Pieter de Vries,2026-01-09,health_scan,FlowSphere,1421,3953,69,0,2.2,66,20,73,56427.61,677131.32,N,,Routine check-in
EVT-20022,CUST-1027,Cape Town Apps,South Africa,SaaS,Starter,Elena Marchetti,2026-01-09,renewal_review,SupportPilot,13,43,19,3,19.3,29,56,39,438.76,5265.12,Y,Low adoption,Training session
EVT-20023,CUST-1015,Helios Software,Greece,SaaS,Enterprise,Henrik Bergstrom,2026-01-09,ticket_review,FlowSphere,922,2864,48,6,26.0,41,49,46,13494.75,485811.0,N,,Renewal planning call
EVT-20024,CUST-1008,Sturm Industries,Austria,Manufacturing,Growth,Noah Becker,2026-01-10,renewal_review,FlowSphere,21,69,37,4,11.4,48,42,64,2177.12,26125.44,N,,Training session
EVT-20025,CUST-1014,Onyx Manufacturing,Poland,Manufacturing,Enterprise,Sofia Ricci,2026-01-13,health_scan,InsightGrid,1128,3065,68,3,3.4,69,26,74,16378.79,196545.48,N,,Routine check-in
EVT-20026,CUST-1014,Onyx Manufacturing,Poland,Manufacturing,Enterprise,Sofia Ricci,2026-01-13,renewal_review,FlowSphere,741,2452,73,0,6.1,65,17,87,25426.59,305119.08,N,,Routine check-in
EVT-20027,CUST-1006,Mistral Pay,France,FinTech,Business,Anika Roth,2026-01-14,qbr_snapshot,InsightGrid,166,476,65,5,25.1,55,39,68,4611.51,110676.24,N,,Routine check-in
EVT-20028,CUST-1028,Doha LogiTech,Qatar,Manufacturing,Growth,Marta Sokolowska,2026-01-16,renewal_review,InsightGrid,71,156,64,3,22.2,62,35,63,2955.77,35469.24,N,,Routine check-in
EVT-20029,CUST-1023,Sunrise Wellness,Australia,Healthcare,Starter,Marta Sokolowska,2026-01-16,usage_check,FlowSphere,20,56,49,5,12.1,47,42,58,366.71,8801.04,N,,Renewal planning call
EVT-20030,CUST-1001,Nordwind Logistics,Germany,Manufacturing,Enterprise,Anika Roth,2026-01-17,health_scan,SupportPilot,1334,3220,60,4,15.8,59,37,57,23424.22,843271.92,N,,Renewal planning call
EVT-20031,CUST-1024,Kanto FoodMart,Japan,Retail,Enterprise,Noah Becker,2026-01-17,renewal_review,InsightGrid,1276,3495,67,0,19.0,58,23,77,18160.06,217920.72,N,,Routine check-in
EVT-20032,CUST-1008,Sturm Industries,Austria,Manufacturing,Growth,Noah Becker,2026-01-18,ticket_review,FlowSphere,71,182,48,3,18.8,45,41,58,3277.82,118001.52,N,,Renewal planning call
EVT-20033,CUST-1030,Auckland MarketCo,New Zealand,Retail,Enterprise,Yuki Tanaka,2026-01-19,renewal_review,InsightGrid,990,3741,78,0,17.1,68,12,93,16786.16,604301.76,N,,Routine check-in
EVT-20034,CUST-1002,Helix Biotech,Switzerland,Healthcare,Enterprise,Pieter de Vries,2026-01-19,usage_check,SupportPilot,1267,3221,81,3,10.0,67,14,89,33290.99,399491.88,N,,Routine check-in
